"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
52.8,47.2,"<b>Kantonsratsbeschluss über den Verkauf der Grundstücke WILWEST und die Kompensation von Fruchtfolgeflächen</b><br>42 von 75 Gemeinden ausgezählt (56%)","<b>NA</b><br>42 des 75 communes sont connus (56%)","<b>NA</b><br>42 dei 75 comuni sono noti (56%)"
80.3,19.7,"<b>Kantonsratsbeschluss über den Neubau des Berufs- und Weiterbildungszentrums Rapperswil-Jona am Standort «Südquartier» in Rapperswil</b><br>42 von 75 Gemeinden ausgezählt (56%)","<b>NA</b><br>42 des 75 communes sont connus (56%)","<b>NA</b><br>42 dei 75 comuni sono noti (56%)"
56.6,43.4,"<b>Kantonsratsbeschluss über den Bau der «Kantonsstrasse zum See» mit Kostenbeteiligung am «Anschluss Witen mit Zubringer»</b><br>42 von 75 Gemeinden ausgezählt (56%)","<b>NA</b><br>42 des 75 communes sont connus (56%)","<b>NA</b><br>42 dei 75 comuni sono noti (56%)"
