"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2701,47.2,47.2,52.8,"Basel BS","Nein zur Klimafondsinitiative in Basel. Die Gemeinde hat die Vorlage mit 52,8 Prozent abgelehnt."
2702,21.2,21.2,78.8,"Bettingen BS","In Bettingen hat die Stimmbevölkerung die Klimafondsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 78,8 Prozent verworfen. Bettingen hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Basel-Stadt."
2703,29.6,29.6,70.4,"Riehen BS","Nein zur Klimafondsinitiative in Riehen. Die Gemeinde hat die Vorlage mit 70,4 Prozent abgelehnt. Riehen hat damit gleich wie der Kanton Basel-Stadt Nein gesagt zu dieser Vorlage."
