"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2701,45.6,45.6,54.4,"Basel BS","54,4 Prozent der Abstimmenden in Basel haben sich gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 73,5 Prozent."
2702,35.4,35.4,64.6,"Bettingen BS","64,6 Prozent der Stimmberechtigten in Bettingen haben die Bargeldinitiative abgelehnt. Im Gegensatz dazu fand der Gegenvorschlag des Regierungs- und Kantonsrates mit 91,7 Prozent eine Mehrheit."
2703,25.8,25.8,74.2,"Riehen BS","74,2 Prozent der Abstimmenden in Riehen haben sich gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 73,3 Prozent."
