"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
2901,58.3,58.3,41.7,"Gächlingen (SH)",
2903,59.2,59.2,40.8,"Löhningen (SH)",
2904,65.9,65.9,34.1,"Neunkirch (SH)",
2914,61.4,61.4,38.6,"Büttenhardt (SH)",
2915,55.6,55.6,44.4,"Dörflingen (SH)",
2917,56,56,44,"Lohn (SH)",
2919,59.9,59.9,40.1,"Stetten (SH)",
2920,57.2,57.2,42.8,"Thayngen (SH)",
2931,52.8,52.8,47.2,"Bargen (SH)",
2932,62.2,62.2,37.8,"Beringen (SH)",
2933,63.7,63.7,36.3,"Buchberg (SH)",
2936,60.4,60.4,39.6,"Merishausen (SH)",
2937,72.5,72.5,27.5,"Neuhausen am Rheinfall (SH)",
2938,61.6,61.6,38.4,"Rüdlingen (SH)",
2939,70.6,70.6,29.4,"Sciaffusa (SH)",
2951,41.2,41.2,58.8,"Beggingen (SH)",
2952,51.3,51.3,48.7,"Schleitheim (SH)",
2953,58.4,58.4,41.6,"Siblingen (SH)",
2961,63.7,63.7,36.3,"Buch (SH)",
2962,58.2,58.2,41.8,"Hemishofen (SH)",
2963,60,60,40,"Ramsen (SH)",
2964,65.3,65.3,34.7,"Stein am Rhein (SH)",
2971,61,61,39,"Hallau (SH)",
2972,51.8,51.8,48.2,"Oberhallau (SH)",
2973,53.7,53.7,46.3,"Trasadingen (SH)",
2974,59.9,59.9,40.1,"Wilchingen (SH)",
