"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2701,76.3,76.3,23.7,"Basel BS","62,9 Prozent der Abstimmenden in Basel haben sich gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 76,3 Prozent."
2702,76,76,24,"Bettingen BS","61,1 Prozent der Stimmberechtigten in Bettingen haben die Bargeldinitiative abgelehnt. Im Gegensatz dazu fand der Gegenvorschlag des Regierungs- und Kantonsrates mit 76 Prozent eine Mehrheit."
2703,75.5,75.5,24.5,"Riehen BS","60,3 Prozent der Abstimmenden in Riehen haben sich gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 75,5 Prozent."
